ID,Name,Module,Path,IsLevelStart,MapMode,Atmosphere(1正常/2幽暗+打光/3噩夢+打光/4烈日曝曬/5焦土餘燼/6沙塵暴/7淺海/8深海/9深海+恐怖/10風雪/11強風/12綿綿細雨/13大雨/14陰森森林鬼霧/15電視雜訊/空=1),SceneEffect(0無/1火雨/空=0),EnterEffect(0無/1睜眼醒來/空=0),NoWeapon(0可用/1禁用/空=0),EnvBright(環境亮度0~100/空=100/只在Atmosphere=1生效:壓暗整張圖讓場上的燈照回來),SceneTip(場景說明文字圖 key/空=不顯示/圖在 UI/Texts/SceneTipPanel_Text_<key>),AtmoTint(場景主色染色 RRGGBB 不含#/只染暗部、亮部與燈池不動/空=不染)
1,RedBridalGown_Woodshed,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_Woodshed.dipanmap,0,2,2,0,,,,RedBridalGown,5A2430
2,RedBridalGown_Storeroom,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_Storeroom.dipanmap,0,2,2,0,,,,RedBridalGown,5A2430
3,RedBridalGown_Kitchen,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_Kitchen.dipanmap,0,2,2,0,,,,RedBridalGown,5A2430
4,RedBridalGown_LivingRoom1,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_LivingRoom1.dipanmap,0,2,2,0,,,,RedBridalGown,5A2430
5,RedBridalGown_ShrineHall,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_ShrineHall.dipanmap,0,2,2,0,,,,RedBridalGown,5A2430
6,RedBridalGown_BridalRoom,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_BridalRoom.dipanmap,0,2,2,0,,,,RedBridalGown,5A2430
7,RedBridalGown_Courtyard,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_Courtyard.dipanmap,0,2,2,0,,,,RedBridalGown,5A2430
8,RedBridalGown_LivingRoom2,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_LivingRoom2.dipanmap,1,2,2,0,,,,RedBridalGown,5A2430
9,RedBridalGown_Study,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_Study.dipanmap,0,2,2,0,,,,RedBridalGown,5A2430
10,RedBridalGown_TreeDemon,RedBridalGown,Modules/RedBridalGown/Maps/RedBridalGown_TreeDemon.dipanmap,0,2,14,0,,,,RedBridalGown,5A2430
11,Main_Cave,Main,Main/Maps/Main_Cave.dipanmap,0,2,1,0,1,1,,,
12,Main_Square,Main,Main/Maps/Main_Square.dipanmap,0,2,5,1,,1,,BuddhaSquare,
13,Main_InitialForest1,Main,Main/Maps/Main_InitialForest1.dipanmap,1,2,1,0,,1,,,
14,Main_InitialForest2,Main,Main/Maps/Main_InitialForest2.dipanmap,0,2,1,0,,1,,,
15,Future_Arena,Future,Modules/Future/Maps/Future_Arena.dipanmap,1,2,1,0,,0,,,
16,Future_Arena2,Future,Modules/Future/Maps/Future_Arena2.dipanmap,0,2,1,0,,0,,,
