"Key(角色種類/角色/動作: Characters/<血統>/<動作> 或 Monsters/<怪名>/<動作>, 不分大小寫)",AnchorX(影子中心X px/相對畫布中心/+右/未翻面方向),AnchorY(影子中心Y px/從畫布底往上/=可見腳底),WidthPx(影子寬 px/BlobShadow 再乘 WidthFactor),Source(auto=工具算的會被重算/manual=手改永不覆寫),Frames(算時幀數/幀數變了只算新的也會重算 auto 列),CanvasW(畫布寬 px),CanvasH(畫布高 px),Note(備註)
# 由 Project Tools → 角色 → 計算影子錨點 產生。看 TempImage/ShadowAnchors/ 的拼圖，錯的角色直接改 AnchorX/AnchorY/WidthPx、Source 改 manual。,,,,,,,,
"# 演算法（ShadowAnchorMath）：在最底 15% 帶內找腳（連成段）；兩段以上=取最低兩段當腳、中點/兩腳底平均、一段=可見框中心/該段底；全幀取中位數；Width=max(兩腳跨距, 框寬)。dead=躺姿：只取最後 1/3 幀、X/Y 用剪影中心、寬=剪影寬。披風/長袍/爪子垂到腳邊會算歪，這就是 manual 存在的理由。",,,,,,,,
# 遊戲端：BlobShadow 依當前動作取這組像素，用當前 sprite 的 PPU/pivot/縮放/flipX 換算成世界位置；表裡沒有的角色 runtime 用同一條演算法當場算。,,,,,,,,
"# 演算法（ShadowAnchorMath）：在最底 15% 帶內找腳（連成段）；兩段以上=取最低兩段當腳、中點/兩腳底平均、一段=可見框中心/該段底；全幀取中位數；Width=max(兩腳跨距, 框寬)。dead=躺姿：只取最後 1/3 幀、X/Y 用剪影中心、寬=剪影寬。披風/長袍/爪子垂到腳邊會算歪，這就是 manual 存在的理由。",,,,,,,,
"# 演算法（ShadowAnchorMath）：在最底 15% 帶內找腳（連成段）；兩段以上=取最低兩段當腳、中點/兩腳底平均、一段=可見框中心/該段底；全幀取中位數；Width=max(兩腳跨距, 框寬×0.75)。dead=躺姿：只取最後 1/3 幀、X/Y 用剪影中心、寬=剪影寬。披風/長袍/爪子垂到腳邊會算歪，這就是 manual 存在的理由。",,,,,,,,
"# 演算法（ShadowAnchorMath）：在最底 15% 帶內找腳（連成段）；兩段以上=取最低兩段當腳、中點/兩腳底平均、一段=可見框中心/該段底；全幀取中位數；Width=max(兩腳跨距, 框寬×0.75)。披風/長袍/爪子垂到腳邊會算歪，這就是 manual 存在的理由。",,,,,,,,
"# 演算法（ShadowAnchorMath）：在最底 15% 帶內找腳（連成段）；兩段以上=兩腳中點/兩腳底平均、一段=可見框中心/該段底；全幀取中位數；Width=max(兩腳跨距, 框寬×0.75)。披風/長袍/爪子垂到腳邊會算歪，這就是 manual 存在的理由。",,,,,,,,
characters/base/attack,-14,32,156,auto,25,256,256,
characters/base/dead,2.5,72.2,183,auto,9,256,256,幀數 9→25 已重算
characters/base/idle,1,41,99,auto,25,256,256,
characters/base/walk,-1.8,39.7,110,auto,25,256,256,
characters/bloodseeker/attack,-7.5,54.5,165,auto,25,256,256,
characters/bloodseeker/dead,5,46.2,128,auto,9,256,256,幀數 9→25 已重算
characters/bloodseeker/idle,1.2,43.5,81,auto,25,256,256,
characters/bloodseeker/walk,2.2,58.5,79,auto,25,256,256,
characters/cain/attack,-0.5,69.2,70,auto,25,256,256,
characters/cain/dead,-1,79.9,86,auto,9,256,256,幀數 9→25 已重算
characters/cain/idle,-0.5,68.3,73,auto,25,256,256,
characters/cain/walk,-5,72.9,66,auto,25,256,256,
characters/crimson count/attack,-7.5,56,112,auto,25,256,256,
characters/crimson count/dead,-8.5,55.6,137,auto,9,256,256,幀數 9→25 已重算
characters/crimson count/idle,-0.5,53.5,91,auto,25,256,256,
characters/crimson count/walk,-6,53.5,90,auto,25,256,256,
characters/fenrir/attack,3,49.5,151,auto,25,256,256,
characters/fenrir/dead,2,70.6,184,auto,9,256,256,幀數 9→25 已重算
characters/fenrir/idle,3.5,49.5,138,auto,25,256,256,
characters/fenrir/walk,-17,67.4,162,auto,25,256,256,
characters/hanba/attack,-29.2,43,117,auto,25,256,256,
characters/hanba/dead,9.5,40.2,141,auto,9,256,256,幀數 9→25 已重算
characters/hanba/idle,-15,44,93,auto,25,256,256,
characters/hanba/walk,-10.2,44,109,auto,25,256,256,
characters/jiangshi/attack,-4,49,130,auto,25,256,256,
characters/jiangshi/dead,11.5,49.5,141,auto,9,256,256,幀數 9→25 已重算
characters/jiangshi/idle,0,50.4,64,auto,25,256,256,
characters/jiangshi/walk,2,50.4,72,auto,25,256,256,
characters/maojiang/attack,5.5,42.6,134,auto,25,256,256,
